# HELP process_cpu_user_seconds_total Total user CPU time spent in seconds.
# TYPE process_cpu_user_seconds_total counter
process_resident_memory_bytes{serviceName="discord-member-cache",instanceId="626d19ea1f8fb9e889f1961a358130c0719fcb39e4d9a530d4c85063da97c800"} 65171456
process_resident_memory_bytes{serviceName="user-warnings",instanceId="bf16a8e67b247a28ea4867692a08a022484681945e2e5871df786cb3d4e44372"} 76849152
process_resident_memory_bytes{serviceName="discord-message-cache",instanceId="d274273d6080089f40ed31a524b351d51624d162718cefa9fc31559d622c735a"} 65208320
process_resident_memory_bytes{serviceName="discord-guild-cache",instanceId="fd5663d28ecbce9cd02286cf53a67b211fa3469db1bf7e8ce2df59fbd6b872c8"} 66338816
process_resident_memory_bytes{serviceName="discord-user-cache",instanceId="a0c1cc9f85909c4d3dba25284517a1c1e1f5a6c7f33c11e2b05f50b9bdfd8cbe"} 68718592
process_resident_memory_bytes{serviceName="guild-settings",instanceId="2bea79ad13aad7b339dee3a5b055b2c30ab1351967a0a15a36df64958c02f768"} 83144704
process_resident_memory_bytes{serviceName="discord-role-cache",instanceId="d31af52f0b036ba806cfa3194acfcfe1de3dc439c8eff6b42e9a6fb0d6034ad4"} 65122304
process_resident_memory_bytes{serviceName="discord-presence-cache",instanceId="a5f6d4851812e76e60b6e81877769e1464be8358197420ed043482188529912e"} 65855488
process_resident_memory_bytes{serviceName="timeouts",instanceId="a75166121eb2052d69ce499b658b381d71ec3e9a03bac23ad394b52d29478b6b"} 78475264
process_resident_memory_bytes{serviceName="discord-channel-cache",instanceId="e0240e352a160a90a5de2d77095ccc58bf5f7e861f1e38e7c7001625e8ccda54"} 66854912
process_resident_memory_bytes{serviceName="discord-chatlog",instanceId="d9c72d93c93086f04b857e3265f3f7edb36c6460b788c022fc192681f47d8299"} 65536000
process_resident_memory_bytes{serviceName="discord-gateway-manager",instanceId="d7af06278bad43cad2b9e02cf000e68bb54460a07937076b653da0058322188b"} 68562944
process_resident_memory_bytes{serviceName="discord-gateway-worker",instanceId="d7af06278bad43cad2b9e02cf000e68bb54460a07937076b653da0058322188b(0)"} 70725632

# HELP process_virtual_memory_bytes Virtual memory size in bytes.
# TYPE process_virtual_memory_bytes gauge
process_virtual_memory_bytes{serviceName="metrics",instanceId="ae0172d73e9af94fe43656632877ab0328f66e1e50f2ca19e15cd85e39b0d125"} 11070488576
process_virtual_memory_bytes{serviceName="discord-proxy",instanceId="71f0d847fd404609308e2d871a1ad6df9caf93d2c61cfed5fd42463a9515e156"} 43305910272
process_virtual_memory_bytes{serviceName="timeout-clock",instanceId="e69b0f96c2acbc01e29ac8aea432cd26942a56cc0ceda874fdc645534f59df83"} 11054055424
process_virtual_memory_bytes{serviceName="image-generator",instanceId="239e2cf968b556bc0299a15a3acc8ef1868ddefa0b8c88d084c05ac3739232bc"} 11079168000
process_virtual_memory_bytes{serviceName="mod-log",instanceId="5fb76ac13a83c3d9a77a232a089f54846fd65dd9958d0015ba2ad91c8cb0fad3"} 11095089152
process_virtual_memory_bytes{serviceName="discord-interaction-stream",instanceId="e71f1d8419bc5b5dc3028baf9e1b179490bb11123e76ee6c220dc934ebcf6702"} 11053125632
process_virtual_memory_bytes{serviceName="user-settings",instanceId="65448d6989e07a1003c057b6207ba34ae800b8decbcb5507bd6afdf0157ca2f0"} 11099238400
process_virtual_memory_bytes{serviceName="command-message-parser",instanceId="96d3639093d3ac0a96a7303b312023ea298dd054a9ee4586796ed97f8a56dfcc"} 11059212288
process_virtual_memory_bytes{serviceName="discord-reaction-stream",instanceId="7d4abc0b6e2e9b39de71fabb343364bc083903b11acb7527a987b069126d6277"} 11057037312
process_virtual_memory_bytes{serviceName="discord-message-stream",instanceId="092e7aecab126fad0c8d74186968d0b10d77f17a9d93ea0009f51cddd1ab1721"} 11053637632
process_virtual_memory_bytes{serviceName="event-log-settings",instanceId="0c47a22a11d5c4a3f2840b985e6795004f30aebdd80029696173e2988bc205a1"} 11099074560
process_virtual_memory_bytes{serviceName="discord-member-cache",instanceId="626d19ea1f8fb9e889f1961a358130c0719fcb39e4d9a530d4c85063da97c800"} 11089530880
process_virtual_memory_bytes{serviceName="user-warnings",instanceId="bf16a8e67b247a28ea4867692a08a022484681945e2e5871df786cb3d4e44372"} 11077869568
process_virtual_memory_bytes{serviceName="discord-message-cache",instanceId="d274273d6080089f40ed31a524b351d51624d162718cefa9fc31559d622c735a"} 11089031168
process_virtual_memory_bytes{serviceName="discord-guild-cache",instanceId="fd5663d28ecbce9cd02286cf53a67b211fa3469db1bf7e8ce2df59fbd6b872c8"} 11089010688
process_virtual_memory_bytes{serviceName="discord-user-cache",instanceId="a0c1cc9f85909c4d3dba25284517a1c1e1f5a6c7f33c11e2b05f50b9bdfd8cbe"} 11088994304
process_virtual_memory_bytes{serviceName="guild-settings",instanceId="2bea79ad13aad7b339dee3a5b055b2c30ab1351967a0a15a36df64958c02f768"} 11099467776
process_virtual_memory_bytes{serviceName="discord-role-cache",instanceId="d31af52f0b036ba806cfa3194acfcfe1de3dc439c8eff6b42e9a6fb0d6034ad4"} 11089051648
process_virtual_memory_bytes{serviceName="discord-presence-cache",instanceId="a5f6d4851812e76e60b6e81877769e1464be8358197420ed043482188529912e"} 11089510400
process_virtual_memory_bytes{serviceName="timeouts",instanceId="a75166121eb2052d69ce499b658b381d71ec3e9a03bac23ad394b52d29478b6b"} 11078201344
process_virtual_memory_bytes{serviceName="discord-channel-cache",instanceId="e0240e352a160a90a5de2d77095ccc58bf5f7e861f1e38e7c7001625e8ccda54"} 11089588224
process_virtual_memory_bytes{serviceName="discord-chatlog",instanceId="d9c72d93c93086f04b857e3265f3f7edb36c6460b788c022fc192681f47d8299"} 11071963136
process_virtual_memory_bytes{serviceName="discord-gateway-manager",instanceId="d7af06278bad43cad2b9e02cf000e68bb54460a07937076b653da0058322188b"} 43304800256
process_virtual_memory_bytes{serviceName="discord-gateway-worker",instanceId="d7af06278bad43cad2b9e02cf000e68bb54460a07937076b653da0058322188b(0)"} 43305578496

# HELP process_heap_bytes Process heap size in bytes.
# TYPE process_heap_bytes gauge
process_heap_bytes{serviceName="metrics",instanceId="ae0172d73e9af94fe43656632877ab0328f66e1e50f2ca19e15cd85e39b0d125"} 112902144
process_heap_bytes{serviceName="discord-proxy",instanceId="71f0d847fd404609308e2d871a1ad6df9caf93d2c61cfed5fd42463a9515e156"} 119771136
process_heap_bytes{serviceName="timeout-clock",instanceId="e69b0f96c2acbc01e29ac8aea432cd26942a56cc0ceda874fdc645534f59df83"} 93315072
process_heap_bytes{serviceName="image-generator",instanceId="239e2cf968b556bc0299a15a3acc8ef1868ddefa0b8c88d084c05ac3739232bc"} 97349632
process_heap_bytes{serviceName="mod-log",instanceId="5fb76ac13a83c3d9a77a232a089f54846fd65dd9958d0015ba2ad91c8cb0fad3"} 105070592
process_heap_bytes{serviceName="discord-interaction-stream",instanceId="e71f1d8419bc5b5dc3028baf9e1b179490bb11123e76ee6c220dc934ebcf6702"} 92508160
